Country_Name,Country_Code,Region,Year,Fertility_Rate,Happiness_Score
Palau,PLW,East Asia & Pacific,2017,12.4,-1
Papua New Guinea,PNG,East Asia & Pacific,2017,27.298,65.705
Poland,POL,Europe & Central Asia,2017,10.6,77.85121951
Puerto Rico,PRI,Latin America & Caribbean,2017,7.3,79.97363415
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,2017,13.797,71.887
Portugal,PRT,Europe & Central Asia,2017,8.4,81.12439024
Paraguay,PRY,Latin America & Caribbean,2017,20.746,73.211
West Bank and Gaza,PSE,Middle East & North Africa,2017,31.409,73.646
French Polynesia,PYF,East Asia & Pacific,2017,15.177,76.996
Qatar,QAT,Middle East & North Africa,2017,9.988,78.331
Romania,ROU,Europe & Central Asia,2017,9.7,75.3097561
Russian Federation,RUS,Europe & Central Asia,2017,12.9,72.11902439
Rwanda,RWA,Sub-Saharan Africa,2017,30.441,67.496
Saudi Arabia,SAU,Middle East & North Africa,2017,19.185,74.72
Sudan,SDN,Sub-Saharan Africa,2017,32.555,64.698
Senegal,SEN,Sub-Saharan Africa,2017,34.973,67.477
Singapore,SGP,East Asia & Pacific,2017,8.9,82.89512195
Solomon Islands,SLB,East Asia & Pacific,2017,28.198,71.006
Sierra Leone,SLE,Sub-Saharan Africa,2017,34.44,52.214
El Salvador,SLV,Latin America & Caribbean,2017,18.374,73.75
San Marino,SMR,Europe & Central Asia,2017,-1,-1
Somalia,SOM,Sub-Saharan Africa,2017,43.055,56.714
Serbia,SRB,Europe & Central Asia,2017,9.2,76.08780488
South Sudan,SSD,Sub-Saharan Africa,2017,35.56,57.288
Sao Tome and Principe,STP,Sub-Saharan Africa,2017,33.361,66.762
Suriname,SUR,Latin America & Caribbean,2017,17.983,71.523
Slovak Republic,SVK,Europe & Central Asia,2017,10.7,77.16585366
Slovenia,SVN,Europe & Central Asia,2017,9.8,81.17560976
Sweden,SWE,Europe & Central Asia,2017,11.5,82.30731707
Eswatini,SWZ,Sub-Saharan Africa,2017,28.415,58.268
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,2017,-1,-1
Seychelles,SYC,Sub-Saharan Africa,2017,17.2,74.3
Syrian Arab Republic,SYR,Middle East & North Africa,2017,20.906,70.963
Turks and Caicos Islands,TCA,Latin America & Caribbean,2017,-1,-1
Chad,TCD,Sub-Saharan Africa,2017,42.803,53.208
Togo,TGO,Sub-Saharan Africa,2017,33.545,60.477
Thailand,THA,East Asia & Pacific,2017,10.098,75.498
Tajikistan,TJK,Europe & Central Asia,2017,28.275,71.214
Turkmenistan,TKM,Europe & Central Asia,2017,24.614,67.956
Timor-Leste,TLS,East Asia & Pacific,2017,34.642,69.199
Tonga,TON,East Asia & Pacific,2017,23.625,73.179
Trinidad and Tobago,TTO,Latin America & Caribbean,2017,13.253,70.783
Tunisia,TUN,Middle East & North Africa,2017,17.865,75.943
Turkey,TUR,Europe & Central Asia,2017,15.954,76.009
Tuvalu,TUV,East Asia & Pacific,2017,-1,-1
Tanzania,TZA,Sub-Saharan Africa,2017,37.752,66.31
Uganda,UGA,Sub-Saharan Africa,2017,41.663,60.182
Ukraine,UKR,Europe & Central Asia,2017,9.4,71.78097561
Uruguay,URY,Latin America & Caribbean,2017,13.928,77.645
United States,USA,North America,2017,11.8,78.53902439
Uzbekistan,UZB,Europe & Central Asia,2017,22.1,71.42
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,2017,15.246,73.294
